author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://odintsovo.cian.ru/sale/flat/303858871/;Зарайск;sale;flat;24;25;2;60.0;12100000;2021;-1;-1;-1;-1;24,4 м²;16,9 м²;+79651094439;;Северная ;11;Одинцово;Одинбург
Этажи Москва;real_estate_agent;https://odintsovo.cian.ru/sale/flat/306943270/;Зарайск;sale;flat;3;22;2;51.0;12500000;2017;-1;-1;-1;-1;-1;24 м²;+79067948755;Новоивановское рп;Можайское шоссе;52;;Западные Ворота Столицы
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/301286091/;Зарайск;sale;flat;4;5;1;35.7;3927000;2023;-1;-1;-1;Предчистовая;-1;11,5 м²;+78612055779;Прикубанский; Имени Валерия Вишневецкого;7;;Гармония
