author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305148214/;Зарайск;sale;flat;10;34;3;102.6;133000000;2023;-1;-1;-1;-1;-1;39,7 м²;+79099981206;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/294650793/;Зарайск;sale;flat;62;77;3;111.0;149000000;2019;-1;-1;-1;-1;-1;10 м²;+79684858420;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/283967307/;Зарайск;sale;flat;9;12;3;101.1;75000000;2021;-1;-1;-1;-1;80 м²;12 м²;+79645665925;Раменки;проспект Генерала Дорохова;39к1Д;Минская;Собрание клубных домов West Garden
