author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/308138114/;Зарайск;sale;flat;3;4;3;136.6;340000000;2021;-1;-1;-1;-1;-1;-1;+79166412202;Якиманка;Софийская набережная;10;Боровицкая;Золотой, жилой квартал
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307640044/;Зарайск;sale;flat;18;21;4;273.0;400000000;-1;-1;-1;-1;-1;133 м²;35 м²;+79099734492;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308099078/;Зарайск;sale;flat;21;21;4;106.0;69500000;2019;-1;-1;-1;-1;-1;10 м²;+79660480820;Лефортово;проезд Невельского;3к2;Авиамоторная;Символ
