author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
TOP GRADE ESTATE;real_estate_agent;https://spb.cian.ru/sale/flat/304796564/;Зарайск;sale;flat;7;12;1;39.22;6390000;2023;-1;-1;-1;-1;13,4 м²;16,1 м²;+79819216769;; Романовская;2;Девяткино;ID Murino II
Агентство недвижимости Сергея Галлера;real_estate_agent;https://spb.cian.ru/sale/flat/308824813/;Зарайск;sale;flat;7;19;2;52.1;14300000;2020;-1;-1;-1;-1;27,8 м²;12 м²;+79819318978;Приморский;Комендантский проспект;60к3;Комендантский проспект;Ultra City
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/308762640/;Зарайск;sale;flat;21;43;3;82.6;42950000;2022;-1;-1;-1;-1;55,6 м²;22 м²;+79651079355;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
