author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
МилДом;real_estate_agent;https://voskresensk.cian.ru/sale/flat/304725484/;Воскресенск;sale;flat;5;15;2;55.4;6799999;2016;-1;-1;-1;-1;30 м²;15 м²;+79152861434;Воскресенск; Ломоносова;119к2;;Москворецкий
Этажи Воскресенск-Раменское;real_estate_agent;https://voskresensk.cian.ru/sale/flat/308360662/;Воскресенск;sale;flat;2;2;2;48.0;2900000;1973;-1;-1;-1;-1;-1;6 м²;+79850738865;Цемгигант мкр; Белинского;1;;
