author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Сто Ключей - офис Воскресенск. ул.Менделеева д.1;real_estate_agent;https://voskresensk.cian.ru/sale/flat/294446425/;Воскресенск;sale;flat;3;4;2;44.0;4500000;-1;-1;-1;-1;-1;30 м²;6 м²;+79162101904;Воскресенск;Советская ;3а;;
ID 21727;realtor;https://voskresensk.cian.ru/sale/flat/307246260/;Воскресенск;sale;flat;2;9;-1;42.0;1600000;1968;-1;-1;-1;-1;25 м²;-1;+79647287949;Центральный мкр; Менделеева;5;;
Сто Ключей - офис Воскресенск. ул.Менделеева д.1;real_estate_agent;https://voskresensk.cian.ru/sale/flat/305590449/;Воскресенск;sale;flat;3;14;2;55.8;8750000;-1;-1;-1;-1;-1;32,5 м²;13,7 м²;+79162101904;Центральный мкр; Куйбышева;47Ак3;;
