author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307447871/;Котельники;sale;flat;22;22;-1;19.4;8880000;1980;-1;-1;-1;-1;12,4 м²;2 м²;+79150743684;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294621795/;Котельники;sale;flat;22;22;1;19.4;8880000;1980;-1;-1;-1;-1;15 м²;4 м²;+79647824573;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
