author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/303252400/;Котельники;sale;flat;6;10;2;96.0;260000000;2014;-1;-1;-1;-1;-1;16 м²;+79639769503;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/308784065/;Котельники;sale;flat;6;6;5;341.0;295000000;2001;-1;-1;-1;-1;213,9 м²;30 м²;+79681950644;Центральный;Итальянская ;12а;Гостиный двор;
ID 497357;realtor;https://www.cian.ru/sale/flat/307664639/;Котельники;sale;flat;2;9;1;31.8;11990000;1962;-1;-1;-1;-1;21,5 м²;5,2 м²;+79857009958;Кунцево;Ельнинская ;22К1;Молодёжная;
