author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Альтернатива;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305486030/;Дмитров;sale;flat;3;9;3;61.8;5800000;-1;-1;-1;-1;-1;41,8 м²;6,9 м²;+79855547008;;;;;
ID 98722447;unknown;https://dmitrov.cian.ru/sale/flat/307844074/;Дмитров;sale;flat;2;5;2;43.1;4550000;1600;-1;-1;-1;-1;28 м²;7 м²;+79660504346;;;;;
ID 77552901;realtor;https://dmitrov.cian.ru/sale/flat/305946270/;Дмитров;sale;flat;9;14;2;52.9;6700000;2002;-1;-1;-1;-1;30,5 м²;9,5 м²;+79067959287;;;;;
