author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308605600/;Апрелевка;sale;flat;10;12;4;300.0;250000000;-1;-1;-1;-1;-1;255,3 м²;39,7 м²;+79660618387;Замоскворечье;Климентовский переулок;2;Новокузнецкая;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305693518/;Апрелевка;sale;flat;15;21;4;226.0;139900000;-1;-1;-1;-1;-1;-1;23 м²;+79670580817;Пресненский;Большой Тишинский переулок;10С1;Баррикадная;Большой Тишинский переулок, 10с1
