author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306596939/;Голицыно;sale;flat;18;29;3;148.3;35199999;2017;-1;-1;-1;-1;-1;23,6 м²;+79660591088;Ховрино;Флотская ;7к3;Речной вокзал;Апарт-комплекс Флотилия
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307586392/;Голицыно;sale;flat;10;12;1;40.5;36900000;2022;-1;-1;-1;-1;-1;16 м²;+79660548497;Басманный; Казакова;7;Курская;KAZAKOV Grand Loft
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/306522377/;Голицыно;sale;flat;5;8;3;100.0;37900000;1951;-1;-1;-1;-1;-1;11 м²;+79031237085;Пресненский;Шелепихинское шоссе;17К1;Шелепиха;
TOUCH;developer;https://www.cian.ru/sale/flat/302838481/;Голицыно;sale;flat;6;13;2;60.6;38217891;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;19,6 м²;+74951387101;Южнопортовый;;к3;Дубровка;Шампайн ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303536389/;Голицыно;sale;flat;10;17;5;153.8;39400000;1993;-1;-1;-1;-1;-1;12,7 м²;+79031237085;Коптево; Зои и Александра Космодемьянских;42;Красный Балтиец;
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307499687/;Голицыно;sale;flat;5;6;-1;423.0;1636844184;-1;-1;-1;-1;-1;206,7 м²;41,1 м²;+79856118802;Хамовники;Бутиковский переулок;5;Парк Культуры;Бутиковский 5
