author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/309060624/;Голицыно;sale;flat;3;9;3;69.3;37200000;1977;-1;-1;-1;-1;-1;10 м²;+79645647627;Дорогомилово;Большая Дорогомиловская ;10;Киевская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/307887661/;Голицыно;sale;flat;5;25;2;65.8;38500000;2022;-1;-1;-1;-1;30 м²;20 м²;+79660516783;Раменки; Янковского;1к1;Аминьевская;Событие
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303710638/;Голицыно;sale;flat;3;6;3;80.0;38500000;1936;-1;-1;-1;-1;-1;18 м²;+79651077623;Дорогомилово;Студенческая ;32;Студенческая;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301496697/;Голицыно;sale;flat;3;5;3;82.9;42900000;-1;-1;-1;-1;-1;-1;-1;+79660471567;Тверской;1-й Самотечный переулок;17А;Достоевская;
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/305837378/;Голицыно;sale;flat;33;50;1;50.0;35300000;2020;-1;-1;-1;-1;21 м²;15 м²;+79153150399;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
