author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/304639535/;Голицыно;sale;flat;5;22;2;58.4;9650000;-1;-1;-1;-1;-1;-1;9,1 м²;+79672285755;; Бояринова;15;Ольгино;Новоград Павлино
Этажи Москва;real_estate_agent;https://mytishchi.cian.ru/sale/flat/302890140/;Голицыно;sale;flat;6;9;4;63.0;9990000;1975;-1;-1;-1;-1;46,4 м²;6 м²;+79652815016;; Веры Волошиной;15;Медведково;
Этажи Москва;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306376324/;Голицыно;sale;flat;4;9;3;75.8;10295000;2021;-1;-1;-1;-1;-1;21,5 м²;+79652484404;пос. Мебельной Фабрики; Рассветная;3;;Афродита-2
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/306786429/;Голицыно;sale;flat;6;15;3;90.0;10500000;2023;-1;-1;-1;-1;46,8 м²;14,2 м²;+79651094439;;Балашихинское шоссе;8к1;Щёлковская;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/291733228/;Голицыно;sale;flat;2;7;4;161.6;265500000;1913;-1;-1;-1;-1;115 м²;14 м²;+79660587093;Арбат; Малая Молчановка;8;Арбатская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308632404/;Голицыно;sale;flat;5;5;-1;277.0;370000000;2021;-1;-1;-1;-1;226 м²;23 м²;+79645387315;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
