author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ОГРК;real_estate_agent;https://zvenigorod.cian.ru/sale/flat/308657416/;Звенигород;sale;flat;7;16;3;84.3;7600000;-1;-1;-1;-1;-1;61 м²;12,4 м²;+79672089940;;;;;
МГСН;real_estate_agent;https://zvenigorod.cian.ru/sale/flat/307958331/;Звенигород;sale;flat;7;17;1;25.0;3200000;-1;-1;-1;-1;-1;17 м²;-1;+79629865491;;;;;Восточный
Мой город;real_estate_agent;https://zvenigorod.cian.ru/sale/flat/303202642/;Звенигород;sale;flat;8;19;1;25.5;4750000;2016;-1;-1;-1;-1;-1;-1;+79152264276;;;;;Супонево Life
Ольга Латышова;realtor;https://zvenigorod.cian.ru/sale/flat/308817749/;Звенигород;sale;flat;10;15;2;56.1;5200000;2023;-1;-1;-1;-1;-1;10 м²;+79672089815;;;;;Восточный
Chase R.E.S.;real_estate_agent;https://zvenigorod.cian.ru/sale/flat/301650290/;Звенигород;sale;flat;2;15;2;56.5;5100000;2023;-1;-1;-1;-1;32,7 м²;8,1 м²;+79165756008;;;;;Восточный
