author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ГОРОБМЕН;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308742516/;Высоковск;sale;flat;11;20;2;55.7;9599000;2009;-1;-1;-1;-1;27 м²;16,5 м²;+79645661987;; Кутузовская;3;Сколково;
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306254042/;Высоковск;sale;flat;4;5;2;47.3;6500000;1965;-1;-1;-1;-1;30,4 м²;6 м²;+79057195168;; Космонавтов;22;Панки;
Dream Realty;real_estate_agent;https://vidnoye.cian.ru/sale/flat/307996713/;Высоковск;sale;flat;16;18;1;40.9;5900000;2024;-1;-1;-1;-1;18 м²;12 м²;+79153499386;; Ольховая;3;Домодедовская;Березовая роща
Метражи group;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308572314/;Высоковск;sale;flat;7;9;2;44.5;8499990;Напишите автору;-1;-1;-1;-1;20 м²;8 м²;+79163599312;;Олимпийский проспект;21к5;Медведково;
ID 31556;realtor;https://dolgoprudny.cian.ru/sale/flat/308781051/;Высоковск;sale;flat;3;16;1;35.0;7300000;1992;-1;-1;-1;-1;19 м²;10 м²;+79190414380;;проспект Пацаева;17;Водники;
CENTURY 21 Перспектива;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308609691/;Высоковск;sale;flat;2;5;2;41.7;6300000;1966;-1;-1;-1;-1;25,8 м²;6 м²;+79057195168;; Бондарева;27;Котельники;
