author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Три Ступени;real_estate_agent;https://korolev.cian.ru/sale/flat/307652065/;Высоковск;sale;flat;4;4;2;42.0;5600000;1965;-1;-1;-1;-1;29 м²;22 м²;+79855798957;;Станционная ;35/2;Медведково;
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306254042/;Высоковск;sale;flat;4;5;2;47.3;6500000;1965;-1;-1;-1;-1;30,4 м²;6 м²;+79057195168;; Космонавтов;22;Панки;
Метражи group;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308572314/;Высоковск;sale;flat;7;9;2;44.5;8499990;Напишите автору;-1;-1;-1;-1;20 м²;8 м²;+79163599312;;Олимпийский проспект;21к5;Медведково;
ID 31556;realtor;https://dolgoprudny.cian.ru/sale/flat/308781051/;Высоковск;sale;flat;3;16;1;35.0;7300000;1992;-1;-1;-1;-1;19 м²;10 м²;+79190414380;;проспект Пацаева;17;Водники;
