author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Вектор;developer;https://odintsovo.cian.ru/sale/flat/303626645/;Высоковск;sale;flat;1;4;-1;202.0;8508000;2024;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая, чистовая;24,4 м²;-1;+74951374690;;;;;Одинцовские кварталы
Три Ступени;real_estate_agent;https://korolev.cian.ru/sale/flat/307652065/;Высоковск;sale;flat;4;4;2;42.0;5600000;1965;-1;-1;-1;-1;29 м²;22 м²;+79855798957;;Станционная ;35/2;Медведково;
Самолет Плюс Москва ЦАО;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/304959349/;Высоковск;sale;flat;7;17;1;34.0;6300000;2016;-1;-1;-1;-1;15 м²;10 м²;+79652698894;; Вертолетная;16к1;Некрасовка;
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306254042/;Высоковск;sale;flat;4;5;2;47.3;6500000;1965;-1;-1;-1;-1;30,4 м²;6 м²;+79057195168;; Космонавтов;22;Панки;
